"","gene","colon","heart","jejunum","kidney","liver","lung","cluster","membership"
"157","Cckar",-0.625636099941057,-0.65009483813547,-0.648316909133897,1.4093676557428,-0.65009483813547,1.16477502960309,1,0.481357107273744
"158","Cct3",-0.297339657914345,0.915400404916879,-1.07110256135298,1.52847371381185,-0.460703773520989,-0.614728125940415,1,0.544898725379183
"159","Cct6b",-0.294865612397963,-0.490085332538698,-0.700193793196224,2.00732042217449,-0.169081620372009,-0.353094063669592,1,0.973523119119658
"160","Cd63",0.826090233749041,-0.669274836057403,-0.339116716170644,1.59721460559289,-1.02570314471091,-0.389210142402968,1,0.586299751719437
"161","Cdadc1",0.317947084752874,-0.753235187064076,-1.21407360300076,1.48135444669556,0.653673478670021,-0.485666220053622,1,0.56475141139458
"162","Cdx4",-0.408248290463863,-0.408248290463863,-0.408248290463863,2.04124145231931,-0.408248290463863,-0.408248290463863,1,0.98203568594294
"163","Ceacam3",-0.408248290463863,-0.408248290463863,-0.408248290463863,2.04124145231932,-0.408248290463863,-0.408248290463863,1,0.98203568594294
"164","Ces2b",-0.0510663771537204,-0.981922410261324,-0.689914527823097,1.54273676150738,0.851979543033458,-0.671812989302701,1,0.558431352271256
"165","Ces2h",-0.422145753265818,-0.589760913070789,-0.100063201114011,2.00589799259781,-0.304167212076406,-0.589760913070789,1,0.94100325760725
"166","Cetn3",0.30651490191419,-0.612378475323891,-1.04445624139891,1.36380686631183,-0.895588916916173,0.882101865412957,1,0.472584313756712
"167","Cfap36",-0.0844958159631741,-0.603119403745311,-1.02441633989424,1.47442103431765,-0.711113961489197,0.948724486774271,1,0.550855690490937
"168","Cfap410",0.300252920525912,0.662571642526664,-1.35785370590972,1.32276746907147,-0.936636197377319,0.00889787116299712,1,0.443271747753873
"169","Cfap68",0.388534075767941,-1.07205034118867,-0.821975427185924,1.71871589697809,0.0473182714200342,-0.260542475791476,1,0.745848666725069
"170","Cfd",-0.455804600087567,-0.411068492398217,-0.439891085290425,2.0360501457948,-0.460380872050124,-0.268905095968471,1,0.983005778899997
"171","Cfdp1",0.587538982847476,-0.943768786198872,-1.06619188309425,1.6112149197969,-0.0122433148568197,-0.176549918494434,1,0.671424408151919
"172","Chac2",-0.350797933941205,-0.138983770378003,-0.744745502130623,1.64830076110245,0.659276827847235,-1.07305038249985,1,0.645621496672163
"173","Chchd4",0.306577694381466,0.207927701114625,0.142019502541979,1.53258482079322,-1.31556361020175,-0.873546108629541,1,0.528221945425915
"174","Chd3",-0.532992657116287,-0.681111924177938,-0.304923436466614,2.00510627412204,-0.344132812253857,-0.141945444107341,1,0.960931163948158
"175","Cherp",-0.725317404492205,0.46294408700151,-0.40022890243082,1.22108659906048,-1.38658345978247,0.828099080643507,1,0.356792257936628
"176","Chpt1",-0.424483188664257,-0.271601906139973,-0.438463609287959,2.03631065742321,-0.432885328862335,-0.468876624468684,1,0.978450813467083
"177","Chrac1",0.37101538433834,0.53194143368756,-0.942805180807483,1.51896536956806,-1.11992341563129,-0.359193591155189,1,0.557750642142847
"178","Chrnb2",0.771056402789069,-1.45437895943883,0.0863663379506049,1.39888041347225,-0.354126729067878,-0.447797465705208,1,0.446981982707299
"179","Chst11",-0.526288419836525,-0.417709955792295,-0.455234781585014,1.96243584316882,-0.688754332851111,0.125551646896127,1,0.942231505303315
"180","Chst7",-0.65123404255575,0.0761590981524771,-0.683024801281882,1.93994685080672,-0.57300070900095,-0.108846396120614,1,0.924556688632586
"181","Cib2",-0.497055400318208,-0.832941740821599,-0.500263214995743,1.94825839246384,-0.00328470654104441,-0.114713329787243,1,0.92707850399341
"182","Cidea",-0.496299996312565,-0.0356119772621888,-0.493097062245867,2.00678559817395,-0.499324563195221,-0.482451999158107,1,0.959536315716866
"183","Cidec",-0.641169498448539,-0.691422226286676,0.821311307169884,1.66216988074694,-0.650286983285276,-0.500602479896334,1,0.608273104316693
"184","Cimap1c",-0.403200676233186,-0.272219008975544,-0.050778824919998,1.98970510268666,-0.67416017308705,-0.589346419470877,1,0.92557925473717
"185","Cisd1",-0.446216920339382,0.968022550143788,-0.812208989693846,1.23329865693818,0.315504704440091,-1.25840000148884,1,0.391725593588496
"186","Clcn5",-0.233273834407424,-0.805463134508835,0.794670413650898,1.63473131974438,-0.809329442423171,-0.581335322055845,1,0.574578879226683
"187","Clcn7",-1.09212069980737,0.0748709844079271,-1.12294946434095,1.53551232979899,0.298470114263278,0.306216735678124,1,0.611533184838037
"188","Clcnkb",-0.411152310057044,-0.391624397589362,-0.413013285111005,2.04117042833002,-0.413392452557739,-0.411987983014873,1,0.982034283155968
"189","Clpp",-0.371559928673743,0.723295195292341,-0.9434940296443,1.3813434821513,0.389036214130566,-1.17862093325616,1,0.478041732948565
"190","Clpx",-0.474067867599436,0.330340110380573,-0.736643467151978,1.860858272413,-0.190226412018556,-0.790260636023605,1,0.838391208775456
"191","Clta",0.896289541233404,-1.09584214870792,0.558149519310849,1.18596118918015,-0.566208247706759,-0.978349853309718,1,0.30857965728202
"192","Clybl",-0.236471607950336,0.799184746061646,-0.914764410027464,1.49853254892421,-0.0413658717625767,-1.10511540524548,1,0.541127581881809
